顧問,已發布篇數,有成效數據篇數,總瀏覽,平均瀏覽,總按讚,總留言,總點擊
DR,20,20,34683,1734,149,50,143
EYLISE,27,22,26618,1210,98,66,54
Jacky,23,17,14137,832,47,33,46
法蘭克,6,5,12975,2595,132,17,0
Bob,8,8,6356,794,32,19,3
宥恩,5,5,1876,375,6,12,0
Dan H,5,4,1105,276,1,4,0
Phoebe,20,18,1066,59,12,35,1
Anna,6,5,537,107,2,9,6
未指定,1,1,0,0,0,2,0
